idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.30303271952577276,0.3053202703360902,0.34980010908479275,1.403168000834122,0.586890935285993,-0.9091055664234071,-1.306503611492898,1.5059698117208222,1.0518006173557017
1,0.30303271952577276,0.3053177703360902,0.34980010908479275,1.403166674767165,0.5868668198173328,-0.9090686314117782,-1.3065039735911415,1.5059652487666002,1.051812688552838
2,0.30303271952577276,0.3053102703360902,0.34980010908479275,1.40316269644159,0.5867944829668765,-0.9089578443598334,-1.3065050597441648,1.505951561986208,1.0518488939842878
3,0.30303271952577276,0.30529777033609024,0.34980010908479275,1.4031560654832562,0.5866739533780869,-0.9087732591739686,-1.306506869526978,1.5059287576213538,1.0519092091887938
4,0.30303271952577276,0.30528027033609023,0.34980010908479275,1.4031467812684988,0.5865052787131777,-0.9085149655569966,-1.3065094022317028,1.505896846057869,1.0519935934595537
5,0.30303271952577276,0.3052577703360902,0.34980010908479275,1.4031348429239836,0.5862885255382349,-0.9081830887972033,-1.306512656868226,1.5058558418002828,1.0521019899368054
6,0.30303271952577276,0.30523027033609024,0.34980010908479275,1.4031202493265038,0.5860237791632708,-0.9077777894746546,-1.3065166321651083,1.5058057634364226,1.0522343257367262
7,0.30303271952577276,0.3051977703360902,0.34980010908479275,1.4031029991027182,0.5857111434380879,-0.9072992630863748,-1.3065213265707452,1.5057466335922352,1.0523905121159336
8,0.30303271952577276,0.3051602703360902,0.34980010908479275,1.4030830906288305,0.5853507405050902,-0.9067477395924595,-1.3065267382547667,1.5056784788770736,1.0525704446706903
9,0.30303271952577276,0.3051177703360902,0.34980010908479275,1.4030605220302121,0.584942710510358,-0.9061234828855593,-1.3065328651096761,1.5056013298197466,1.052774003569737
10,0.30303271952577276,0.30507027033609024,0.34980010908479275,1.4030352911809632,0.5844872112745607,-0.9054267901866206,-1.306539704752708,1.5055152207956695,1.0530010538194858
11,0.30303271952577276,0.30501777033609023,0.34980010908479275,1.403007395703417,0.583984417925441,-0.9046579913700716,-1.3065472545279018,1.5054201899455093,1.0532514455601698
12,0.30303271952577276,0.3049602703360902,0.34980010908479275,1.4029768329675851,0.5834345224938273,-0.9038174482220303,-1.3065555115083722,1.5053162790857417,1.053525014391392
13,0.30303271952577276,0.3048977703360902,0.34980010908479275,1.4029436000905424,0.5828377334752428,-0.9029055536353636,-1.3065644724987697,1.5052035336115919,1.0538215817253676
14,0.30303271952577276,0.3048302703360902,0.34980010908479275,1.4029076939357519,0.5821942753593685,-0.9019227307457134,-1.3065741340379085,1.505082002392838,1.054140955166077
15,0.30303271952577276,0.3047577703360902,0.34980010908479275,1.4028691111123326,0.5815043881297308,-0.9008694320128499,-1.3065844924015546,1.5049517376630162,1.0544829289123985
16,0.30303271952577276,0.30468027033609024,0.34980010908479275,1.4028278479742629,0.5807683267360515,-0.8997461382518579,-1.3065955436053498,1.5048127949025547,1.0548472841832401
17,0.30303271952577276,0.3045977703360902,0.34980010908479275,1.4027839006195275,0.5799863605418398,-0.8985533576188498,-1.3066072834078626,1.5046652327164087,1.0552337896626187
