step,time_s,T_J1_rad,T_J2_rad,T_J3_rad,T_J4_rad,T_J5_rad,T_J6_rad,A_J1_rad,A_J2_rad,A_J3_rad,A_J4_rad,A_J5_rad,A_J6_rad,Eabs_J1_rad,Eabs_J2_rad,Eabs_J3_rad,Eabs_J4_rad,Eabs_J5_rad,Eabs_J6_rad
0,0.0,1.2942287684616443,-0.21480975409575048,0.2738824365517775,-1.0840220804932519,1.403168000848299,1.4169771994137614,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,5.969558181107004e-11,4.1406322814907526e-12,8.497486048142378e-11,2.3806512317037232e-11,1.4176881890648474e-11,1.0232104052931845e-10
1,0.0025,1.2942289906316313,-0.21480899616077445,0.27388181462689243,-1.0840221052587722,1.4031681332484722,1.4169774265520805,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,2.2222968265595e-07,7.57930835398879e-07,6.218399102309036e-07,2.478932681349022e-08,1.3241435015132197e-07,2.2724064008272649e-07
2,0.005,1.2942296573691157,-0.21480672237157808,0.2738799491760718,-1.0840221796460772,1.403168530503019,1.4169781083570345,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,8.889671669898291e-07,3.0317200317708792e-06,2.487290730879277e-06,9.91766317959275e-08,5.296688969647079e-07,9.090455941329623e-07
3,0.0075,1.2942307686448673,-0.21480293272614154,0.27387684015772346,-1.0840223036435082,1.4031691926049938,1.416979244778529,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,2.000242918631656e-06,6.821365468312468e-06,5.596309079203277e-06,2.231740627856027e-07,1.1917708717668063e-06,2.045467088596098e-06
4,0.01,1.294232324429657,-0.21479762722244497,0.2738724875302554,-1.084022477239407,1.4031701195474522,1.4169808357664695,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,3.5560277082957725e-06,1.212686916488015e-05,9.94893654726603e-06,3.967699615525788e-07,2.1187133301125982e-06,3.6364550290990394e-06
5,0.0125,1.294234324694254,-0.21479080585846846,0.27386689125207553,-1.0840227004221148,1.403171311323449,1.4169828812707614,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,5.556292305364252e-06,1.894823314138594e-05,1.5545214727130663e-05,6.199526694228297e-07,3.3104893268909308e-06,5.681959321046648e-06
6,0.015,1.2942367694094292,-0.2147824686321922,0.2738600512815918,-1.0840229731799735,1.4031727679260393,1.416985381241311,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,8.001007480551436e-06,2.7285459417658586e-05,2.2385185210860303e-05,8.927105281664183e-07,4.767091917212696e-06,8.181929870509919e-06
7,0.0175,1.2942396585459601,-0.21477261554159743,0.27385196757721375,-1.0840232955013311,1.403174489348286,1.4169883356280317,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,1.089014401145505e-05,3.7138550012416616e-05,3.0468889588908254e-05,1.2150318857706566e-06,6.488514163960346e-06,1.1136316591331408e-05
8,0.02,1.294242992082648,-0.21476124658521917,0.27384264010880643,-1.0840236673777246,1.403176475585136,1.4169917443946107,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,1.4223680699254615e-05,4.8507506390682575e-05,3.979635799622461e-05,1.5869082792274725e-06,8.474751013842763e-06,1.4545083170336426e-05
9,0.0225,1.2942467699962348,-0.21474836176145118,0.27383206884326783,-1.0840240887998809,1.403178726631069,1.416995607501185,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,1.8001594286110034e-05,6.139233015867163e-05,5.0367623534830486e-05,2.008330435510075e-06,1.0725796946831068e-05,1.8408189744523185e-05
10,0.025,1.2942509922512282,-0.2147339610678406,0.2738202537300932,-1.0840245597536438,1.4031812424776522,1.4169999248869254,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,2.2223849279523478e-05,7.579302376925501e-05,6.218273670943741e-05,2.479284198386722e-06,1.3241643530115255e-05,2.272557548499421e-05
11,0.0275,1.2942556588079621,-0.21471804450164572,0.27380719471283516,-1.0840250802231928,1.4031840231154638,1.4170046964838494,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,2.689040601344672e-05,9.170958996412848e-05,7.524175396750321e-05,2.999753747401357e-06,1.6022281341676603e-05,2.7497172409018944e-05
12,0.03,1.2942607696225998,-0.21470061205983607,0.27379289172910426,-1.0840256501910437,1.4031870685340924,1.4170099222168182,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,3.200122065116773e-05,0.00010914203177378456,8.954473769839932e-05,3.569721598317699e-06,1.9067699970287677e-05,3.2722905377813305e-05
13,0.0325,1.2942663246471324,-0.21468166373909187,0.27377734471056797,-1.0840262696380494,1.4031903787221387,1.4170156020035394,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,3.755624518375633e-05,0.0001280903525179844,0.00010509175623468758,4.1891686040074205e-06,2.237788801662255e-05,3.840269209898217e-05
14,0.035,1.294272323829382,-0.21466119953580431,0.2737605535829511,-1.0840269385433994,1.403193953667217,1.4170217357545667,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,4.355542743339491e-05,0.00014855455580553567,0.0001218828838515651,4.858073954006059e-06,2.5952833095033156e-05,4.453644312629734e-05
15,0.0375,1.2942787671130012,-0.21463921944607522,0.273742518266035,-1.084027656884622,1.4031977933559545,1.4170283233733012,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,4.999871105249021e-05,0.00017053464553462572,0.0001399182007676414,5.5764151767334624e-06,2.979252183243908e-05,5.112406186080776e-05
16,0.04,1.2942856544374757,-0.21461572346571692,0.27372323867365783,-1.0840284246375838,1.403201897773994,1.4170353647559906,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,5.6886035527004e-05,0.00019403062589293252,0.0001591977931448274,6.344168138383566e-06,3.389693987188025e-05,5.816544455017336e-05
17,0.0425,1.2942929857381251,-0.2145907115902521,0.27370271471371377,-1.08402924177649,1.4032062669059944,1.417042859791732,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,6.421733617645309e-05,0.00021904250135776349,0.0001797217530888906,7.161307044700749e-06,3.8266071872294916e-05,6.566048029155169e-05
18,0.045,1.2943007609461046,-0.21456418381491368,0.27368094628815304,-1.0840301082738864,1.4032109007356321,1.4170508083624698,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,7.199254415590772e-05,0.0002455702766961665,0.0002014901786496215,8.027804440979835e-06,4.2899901510073946e-05,7.360905102937743e-05
19,0.0475,1.294308979988406,-0.21453614013464467,0.2736579332929814,-1.0840310241006594,1.403215799245602,1.4170592103429993,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,8.021158645732385e-05,0.00027361395696517965,0.0002245031738212777,8.943631214064496e-06,4.779841147994901e-05,8.201103155891509e-05
20,0.05,1.2943176427878602,-0.21450658054409785,0.2736336756182599,-1.0840319892260366,1.4032209624176195,1.417068065600965,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,8.887438591154151e-05,0.0003031735475119979,0.0002487608485427506,9.908756591237022e-06,5.296158349743507e-05,9.086628952470477e-05
